bike_name,price,city,kms_driven,owner,age,power,brand
Hero Splendor iSmart 110cc,32000,Delhi,22000,First Owner,5,110,Hero
Bajaj Pulsar 180cc,62500,Delhi,26000,First Owner,5,180,Bajaj
Yamaha YZF-R15 V3 150cc,122500,Delhi,10000,First Owner,3,150,Yamaha
Bajaj Platina 100cc,24500,Delhi,15000,First Owner,6,100,Bajaj
TVS Apache RTR 200 4V FI,78500,Delhi,26000,First Owner,4,200,TVS
Royal Enfield Bullet Twinspark 350cc,102500,Delhi,21000,First Owner,4,350,Royal Enfield
TVS Star City 110cc,28000,Bangalore,28428,First Owner,9,110,TVS
Royal Enfield Classic 350cc,130000,Delhi,10149,First Owner,3,350,Royal Enfield
Royal Enfield Classic 350cc,130000,Delhi,7036,First Owner,3,350,Royal Enfield
Bajaj Dominar 400,115000,Delhi,7593,First Owner,4,400,Bajaj
KTM RC 200cc,96000,Delhi,17000,First Owner,6,200,KTM
Bajaj Platina  Alloy ES-100cc,29500,Delhi,15798,First Owner,4,100,Bajaj
Yamaha YZF-R15 2.0 150cc,100000,Hyderabad,4800,First Owner,4,150,Yamaha
Royal Enfield Himalayan 410cc Fi ABS,177982,Hamirpur(hp),7000,First Owner,2,410,Royal Enfield
Royal Enfield Himalayan 410cc Fi ABS,202000,Bangalore,11000,First Owner,2,410,Royal Enfield
Suzuki Hayabusa 1300cc,950000,Chennai,312,First Owner,3,1300,Suzuki
KTM RC 200cc,113000,Kottayam,28000,Third Owner,6,200,KTM
Bajaj Avenger Street 220,45400,Delhi,23000,Second Owner,5,220,Bajaj
Royal Enfield Classic 350cc,105000,Delhi,16000,First Owner,4,350,Royal Enfield
Ducati Panigale 959,885000,Delhi,300,First Owner,2,959,Ducati
Yamaha FZs 150cc,30000,Arrah,50000,First Owner,6,150,Yamaha
Bajaj Platina 100cc,22000,Delhi,22000,First Owner,6,100,Bajaj
Royal Enfield Classic 350cc-Redditch Edition,115000,Delhi,10000,First Owner,4,350,Royal Enfield
Bajaj V15 150cc,55000,Patiala,3000,First Owner,4,150,Bajaj
Bajaj Discover 125ST,20000,Faridabad,55000,First Owner,9,125,Bajaj
Hero Splendor iSmart 110cc,56000,Ranga Reddy,16500,First Owner,4,110,Hero
TVS Sport 100cc,28000,Mandi,36000,First Owner,5,100,TVS
Hero Super Splendor 125cc,44000,Ludhiana,7329,First Owner,3,125,Hero
Bajaj Dominar 400 ABS,190000,Mandya,8780,First Owner,2,400,Bajaj
Royal Enfield Bullet Electra 350cc,78000,Siliguri,20000,First Owner,8,350,Royal Enfield
Honda CBF Stunner 125cc,18787,Bangalore,28164,First Owner,10,125,Honda
Bajaj Pulsar AS200,51500,Bangalore,20600,First Owner,6,200,Bajaj
Bajaj Avenger 220cc,54200,Mumbai,5700,First Owner,6,220,Bajaj
Royal Enfield Classic Desert Storm 500cc Dual Disc,175000,Hyderabad,11277,First Owner,3,500,Royal Enfield
Bajaj Avenger 220cc,48000,Aurangabad,26000,First Owner,7,220,Bajaj
Honda Livo 110cc,40000,Ludhiana,4000,First Owner,5,110,Honda
Bajaj Dominar 400 ABS,102400,Kanpur,11600,First Owner,4,400,Bajaj
Yamaha FZ V 2.0 150cc,65000,Chennai,8800,First Owner,3,150,Yamaha
KTM RC 390cc,170000,Bhilwara,2100,First Owner,4,390,KTM
